row_names,Offspring ID,Loci typed,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
50,UHA-0143,8,UHA-0010,9,8,0,7.13E+00,UHA-0259,9,8,1,9.23E-01,0.00E+00,,8,1,4.51E+00,4.51E+00,*
51,UHA-0144,9,UHA-0010,9,9,0,6.36E+00,UHA-0259,9,9,1,3.08E+00,8.02E-01,-,9,1,5.22E+00,5.22E+00,*
52,UHA-0146,8,UHA-0010,9,8,0,5.97E+00,UHA-0259,9,8,0,5.11E+00,1.12E+00,-,8,0,7.71E+00,1.12E+00,+
53,UHA-0148,8,UHA-0012,8,8,1,2.79E+00,UHA-0187,9,8,2,-1.91E+00,0.00E+00,,8,3,-2.58E+00,0.00E+00,
54,UHA-0150,8,UHA-0012,8,8,0,5.48E+00,UHA-0266,8,8,0,8.14E+00,7.69E+00,*,8,0,1.07E+01,1.07E+01,*
55,UHA-0151,8,UHA-0012,8,8,0,9.11E+00,UHA-0264,8,8,1,-3.11E-01,0.00E+00,,8,2,-3.28E+00,0.00E+00,
56,UHA-0152,9,UHA-0012,8,8,0,4.22E+00,UHA-0260,9,9,0,9.24E+00,4.99E+00,*,9,0,1.27E+01,1.27E+01,*
57,UHA-0153,8,UHA-0012,8,8,0,8.37E+00,UHA-0260,9,8,1,2.79E+00,2.79E+00,+,8,1,5.56E+00,5.56E+00,*
58,UHA-0154,8,UHA-0012,8,8,1,2.41E-01,UHA-0258,8,8,2,-4.16E+00,0.00E+00,,8,2,7.48E-01,1.39E-02,-
59,UHA-0155,8,UHA-0012,8,8,0,6.09E+00,UHA-0257,8,8,0,6.23E+00,4.66E+00,*,8,1,5.22E+00,5.22E+00,*
60,UHA-0156,8,UHA-0012,8,8,1,-1.12E+00,UHA-0177,9,8,2,-3.06E+00,0.00E+00,,8,4,-6.07E+00,0.00E+00,
61,UHA-0157,8,UHA-0012,8,8,0,6.78E+00,UHA-0258,8,8,0,7.13E+00,7.13E+00,*,8,0,1.06E+01,1.06E+01,*
62,UHA-0158,8,UHA-0012,8,8,0,5.47E+00,UHA-0339,9,8,2,-7.58E-01,0.00E+00,,8,2,9.56E-01,9.56E-01,+
63,UHA-0159,9,UHA-0012,8,8,0,6.15E+00,UHA-0260,9,9,0,7.28E+00,5.38E+00,*,9,0,1.01E+01,6.46E+00,*
64,UHA-0160,8,UHA-0012,8,8,0,8.38E+00,UHA-0257,8,8,0,6.66E+00,4.75E+00,*,8,0,1.01E+01,1.01E+01,*
65,UHA-0161,9,UHA-0012,8,8,0,5.50E+00,UHA-0260,9,9,0,8.33E+00,5.16E+00,*,9,0,1.17E+01,1.17E+01,*
66,UHA-0162,7,UHA-0012,8,7,0,4.70E+00,UHA-0177,9,7,0,7.40E+00,3.92E+00,*,7,0,9.62E+00,8.26E+00,*
67,UHA-0163,8,UHA-0012,8,8,1,3.75E+00,UHA-0258,8,8,1,1.18E+00,7.43E-01,-,8,2,2.89E+00,2.87E+00,+
68,UHA-0164,8,UHA-0016,7,7,0,7.93E+00,UHA-0264,8,8,0,1.04E+01,8.91E+00,*,8,1,3.95E+00,4.49E-01,-
69,UHA-0165,8,UHA-0016,7,7,0,4.35E+00,UHA-0266,8,8,1,1.89E+00,0.00E+00,,8,1,2.66E+00,2.66E+00,+
70,UHA-0167,8,UHA-0016,7,7,2,-7.11E+00,UHA-0260,9,8,1,4.30E+00,0.00E+00,,8,4,-3.79E-01,0.00E+00,
